factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,long_only_cagr,long_only_gross_return,long_only_net_return,long_only_sharpe,long_only_max_drawdown,long_only_win_rate,long_only_excess_annual_return,long_only_excess_sharpe,long_turnover,diagnostic_spread_annual,diagnostic_spread_sharpe,short_turnover,mean_turnover,sign_stability,annual_stability_status,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
KLEN,WEAK,WEAK,1.142,-1,3D,-0.0109,0.0772,-0.1407,-0.4993,-4.8032,-1.64,2e-06,0.101267,0.136847,0.4477,0.0134,0.0922,0.1453,0.5157,0.5746,4.9605,1.5824,1e-06,0.113823,0.136847,0.6,0.1607,0.00152,0.000718,0.7117,-0.6958,0.5148,0.2685,0.7203,0.5344,0.1552,0.7658,1.0,0.7672,0.8333,VALID,-0.0032,-0.0014,-0.019,1.0,0.0,0
KLOW,REJECT,REJECT,0.7623,-1,20D,-0.0093,0.0608,-0.153,-0.5432,-5.2258,-2.7385,0.0,0.006267,0.013056,0.434,0.0036,0.0676,0.0526,0.1866,0.5223,1.7953,0.8438,0.072861,0.398968,0.013056,0.3,0.3294,0.002363,0.001278,1.1735,-0.6738,0.5308,0.3846,1.0383,0.7232,0.5366,2.2401,1.0,0.8616,0.8333,VALID,-0.0014,-0.0088,-0.013,1.0,0.0,0
MIN_RATIO_5,REJECT,REJECT,0.3186,1,1D,0.0074,0.0746,0.0995,0.3533,3.393,1.6651,0.000715,0.096168,0.133567,0.5448,-0.0031,0.0798,-0.0391,-0.1387,0.4785,-1.3319,-0.6264,0.183163,0.531159,0.133567,-0.3,0.5794,0.002648,0.001973,1.7536,-0.6614,0.5394,0.6244,1.187,0.4503,0.6756,2.6069,1.0,0.7251,0.8,VALID,-0.0003,0.0114,0.0088,0.9966,0.0034,0
ROC5,REJECT,REJECT,0.2273,-1,1D,-0.0068,0.081,-0.0834,-0.296,-2.8413,-1.3255,0.004571,0.185259,0.225926,0.4737,-0.0012,0.0916,-0.0135,-0.048,0.4918,-0.4609,-0.2231,0.644939,0.823506,0.225926,-0.3,0.7391,0.002887,0.002375,1.9939,-0.6578,0.5314,0.7936,1.3066,0.3415,0.8184,2.8256,1.0,0.6707,0.8,VALID,0.0037,-0.0243,-0.0024,0.9957,0.0043,0
KSFT,REJECT,REJECT,0.1199,-1,1D,-0.0058,0.0691,-0.0845,-0.2998,-2.8844,-2.566,0.003994,0.010412,0.018593,0.4657,-0.0085,0.0776,-0.1095,-0.3888,0.4477,-3.7404,-3.5885,0.000193,0.000346,0.018593,-0.3,0.5914,0.003151,0.00202,1.7022,-0.6977,0.5283,0.6324,1.421,0.754,1.0765,3.5425,1.0,0.877,0.8333,VALID,-0.0031,-0.0177,-0.001,1.0,0.0,0
KUP,REJECT,REJECT,-0.1519,-1,3D,-0.0052,0.0638,-0.0818,-0.2903,-2.7926,-1.2493,0.005314,0.21182,0.252167,0.476,0.0101,0.0722,0.1404,0.4985,0.5583,4.7956,1.8732,2e-06,0.061289,0.252167,0.3,0.1625,0.001792,0.000743,0.6873,-0.6899,0.5021,0.2247,0.7618,0.6995,0.239,1.1564,1.0,0.8497,0.8333,VALID,-0.0027,-0.0017,-0.0081,1.0,0.0,0
KMID,REJECT,REJECT,-0.2126,-1,1D,-0.0048,0.0713,-0.0667,-0.2369,-2.2788,-1.9593,0.022859,0.05032,0.078625,0.4734,-0.0048,0.0792,-0.06,-0.2128,0.4674,-2.0473,-1.8455,0.040857,0.065214,0.078625,-0.3,0.5152,0.002956,0.00182,1.5594,-0.683,0.5198,0.486,1.1154,0.7577,0.9056,3.1824,1.0,0.8789,0.8333,VALID,-0.0024,-0.0139,-0.0011,1.0,0.0,1
MA_RATIO_5,REJECT,REJECT,-0.3377,1,1D,0.0046,0.0773,0.0596,0.2115,2.0308,1.0735,0.042507,0.283286,0.321916,0.5258,0.0025,0.0874,0.0281,0.0997,0.5095,0.9575,0.5384,0.338522,0.590389,0.321916,0.1,0.7561,0.003053,0.002415,2.0167,-0.6606,0.5292,0.8171,1.4276,0.4248,0.912,3.0998,1.0,0.7124,0.8,VALID,0.0004,0.0183,-0.0005,0.9966,0.0034,0
MAX_RATIO_5,REJECT,REJECT,-0.9734,-1,1D,-0.0046,0.0785,-0.0583,-0.2071,-1.9888,-1.0194,0.046958,0.308238,0.337359,0.4587,0.0056,0.0813,0.0685,0.2431,0.5164,2.3345,1.2074,0.019738,0.227514,0.337359,0.1,0.2867,0.001853,0.001156,1.0352,-0.7627,0.5064,0.3824,0.8566,0.4648,0.2769,1.2427,1.0,0.7324,0.6,VALID,-0.0059,0.0159,-0.0144,0.9966,0.0034,0
KMID2,REJECT,REJECT,-1.0945,-1,1D,-0.0014,0.0696,-0.02,-0.0709,-0.6816,-0.5862,0.495601,0.557872,0.581117,0.5077,-0.001,0.0667,-0.015,-0.0533,0.5043,-0.513,-0.4609,0.608049,0.644945,0.581117,-0.1,0.3648,0.002547,0.001378,1.2858,-0.6709,0.5198,0.4031,1.0354,0.7789,0.7325,2.947,1.0,0.8895,0.8333,VALID,0.0008,-0.0115,0.0028,1.0,0.0,1
